state,STATEFP,CDFP,GEOID,NAMELSAD,LSAD,CDSESSN,area,perimeter,convex_hull,polsby_popper,reock,schwartzberg
FL,12,26,1226,Congressional District 26,C2,115,1.1993684046050248,9.953834564645101,0.47959343735414295,0.15211835878737331,0.16769564145775834,0.3900235361966933
FL,12,22,1222,Congressional District 22,C2,115,0.06126602974904927,1.8037638315805777,0.743537835179823,0.23663024465912966,0.4983199734483092,0.48644654861467534
FL,12,09,1209,Congressional District 9,C2,115,0.6227763751517159,4.157283177878559,0.8710067746548859,0.4528170566975567,0.6251907261224696,0.6729168274739135
FL,12,19,1219,Congressional District 19,C2,115,0.3203654264484612,3.6241181348515528,0.6990238192453155,0.3065143513916242,0.26576304529325756,0.5536373825814367
MO,29,01,2901,Congressional District 1,C2,115,0.06327132246178735,1.7260686643328238,0.7285721941265791,0.26687054305608876,0.5353669405073246,0.5165951442436221
MO,29,03,2903,Congressional District 3,C2,115,1.8726200304556642,10.527686211679882,0.7737663252997499,0.21232134895815938,0.29539885578573116,0.4607834078590064
MO,29,05,2905,Congressional District 5,C2,115,0.6638282102346693,6.67824350486117,0.6892662420338707,0.18704283115747625,0.26079151741234574,0.43248448660903
MO,29,04,2904,Congressional District 4,C2,115,3.918743262834141,14.703302108973018,0.6764791301965131,0.2277859400436762,0.40538246174715975,0.4772692531932853
MO,29,07,2907,Congressional District 7,C2,115,1.6696105857217844,6.892700574189363,0.8160952219824361,0.4416174525229607,0.5115419395418472,0.6645430403841127
MO,29,02,2902,Congressional District 2,C2,115,0.12863518037147514,2.8529664915630395,0.762106041263477,0.1985986454951815,0.46194913486043854,0.44564407938979905
MO,29,06,2906,Congressional District 6,C2,115,5.022244823500387,16.954995369827806,0.7646028249196126,0.21953935948318398,0.23377431484267494,0.4685502742323219
MO,29,08,2908,Congressional District 8,C2,115,5.276042764900922,14.09057616671796,0.8114045416316586,0.33393402128496535,0.46196221675366667,0.577870246063046
MS,28,01,2801,Congressional District 1,C2,115,2.7184368824161993,10.02152334986834,0.8121249961133188,0.340143074155381,0.48366794244679734,0.5832178616566719
MS,28,03,2803,Congressional District 3,C2,115,3.1860291875646,15.884501216371891,0.6343226630745699,0.15867644050033303,0.24818935577509432,0.39834211489664634
MS,28,04,2804,Congressional District 4,C2,115,2.1769360686344044,8.210350604511701,0.8787186282099845,0.40581877250293746,0.5698457729018623,0.6370390667007303
MS,28,02,2802,Congressional District 2,C2,115,3.9882395639629067,18.394522196498727,0.7843096136371148,0.1481201280122909,0.4414293758599758,0.3848637785142828
NJ,34,01,3401,Congressional District 1,C2,115,0.10076310884755912,2.1927230664868382,0.7072459236273066,0.26335638485430435,0.3148514490728584,0.5131826038110648
NJ,34,03,3403,Congressional District 3,C2,115,0.31014324336410937,4.528434933263654,0.6192194873135832,0.19005352294187866,0.3335867096626942,0.4359512850558864
NJ,34,10,3410,Congressional District 10,C2,115,0.022258095471670458,1.490001258412503,0.5613664472983027,0.12598666925267588,0.33346349841548123,0.3549460089262533
NJ,34,04,3404,Congressional District 4,C2,115,0.19445355864968406,3.3428710662959,0.7056741022051743,0.21866864153511884,0.38411796169939666,0.46762018940067035
NJ,34,05,3405,Congressional District 5,C2,115,0.2840891567766448,4.198613036520797,0.5850457667010028,0.20251296019723816,0.23419606773512258,0.45001439998875387
NJ,34,07,3407,Congressional District 7,C2,115,0.27239854229082994,5.481291806936885,0.7016800991902745,0.11393280686189987,0.37207983223176844,0.3375393412061768
NJ,34,02,3402,Congressional District 2,C2,115,0.7799799508750311,5.389173822090868,0.8393818433044347,0.3374806838010038,0.4334534583792043,0.5809308769561176
NJ,34,09,3409,Congressional District 9,C2,115,0.02844740799059764,1.417584916760631,0.5858725748869671,0.17789117273637903,0.4062535813085396,0.4217714697989648
NJ,34,11,3411,Congressional District 11,C2,115,0.1472757727208318,3.3780590162060045,0.7299623735211868,0.16218351507265144,0.41803446768754754,0.40272014485576885
NJ,34,06,3406,Congressional District 6,C2,115,0.1126215497956764,3.230727225987373,0.5727556070232039,0.13559097394583072,0.2748250303262184,0.36822679688723187
NJ,34,12,3412,Congressional District 12,C2,115,0.11514611076745496,3.044054746678385,0.6297112252438014,0.15615439782058138,0.3133822614295906,0.3951637607632833
NV,32,01,3201,Congressional District 1,C2,115,0.027098507581285958,0.7817846588185596,0.8979667014523114,0.5571613082937159,0.4598248331017912,0.7464323869539128
